date,home_team,away_team,home_goals,away_goals,home_win
2021-12-08,EDM,MIN,1,4,0
2021-12-08,TOR,CBJ,5,4,1
2021-12-08,STL,FLA,4,3,1
2021-12-08,SJS,CGY,5,3,1
2021-12-08,OTT,NYI,3,5,0
2021-12-08,CHI,NYR,2,6,0
2021-12-08,DET,NSH,2,5,0
2021-12-08,WPG,CAR,2,4,0
2021-12-08,BUF,ANA,0,2,0
2021-12-08,MTL,TBL,2,3,0
2021-12-09,VAN,BOS,2,1,1
2021-12-09,VGK,DAL,5,4,1
2021-12-09,NJD,PHI,3,0,1
2021-12-09,NYR,COL,3,7,0
2021-12-10,SJS,MIN,2,5,0
2021-12-10,SEA,WPG,0,3,0
2021-12-10,STL,DET,6,2,1
2021-12-10,NYI,NSH,3,4,0
2021-12-10,TOR,TBL,3,5,0
2021-12-10,LAK,DAL,4,0,1
2021-12-10,EDM,BOS,2,3,0
2021-12-10,CGY,CAR,1,2,0
2021-12-10,CBJ,ANA,1,2,0
2021-12-10,MTL,CHI,0,2,0
2021-12-11,WSH,PIT,2,4,0
2021-12-11,VGK,PHI,3,4,0
2021-12-11,VAN,WPG,4,3,1
2021-12-11,OTT,TBL,4,0,1
2021-12-11,NJD,NSH,2,3,0
2021-12-11,COL,DET,7,3,1
2021-12-11,BUF,NYR,1,2,0
2021-12-11,ARI,FLA,1,3,0
2021-12-12,STL,MTL,4,1,1
2021-12-12,SJS,DAL,2,1,1
2021-12-12,SEA,CBJ,4,5,0
2021-12-12,PIT,ANA,1,0,1
2021-12-12,NYI,NJD,4,2,1
2021-12-12,TOR,CHI,5,4,1
2021-12-12,EDM,CAR,1,3,0
2021-12-12,CGY,BOS,2,4,0
2021-12-12,BUF,WSH,2,3,0
2021-12-12,ARI,PHI,3,5,0
2021-12-12,LAK,MIN,2,1,1
2021-12-13,COL,FLA,3,2,1
2021-12-13,NYR,NSH,0,1,0
2021-12-13,STL,ANA,2,3,0
2021-12-13,VAN,CAR,2,1,1
2021-12-13,VGK,MIN,6,4,1
2021-12-15,WPG,BUF,2,4,0
2021-12-15,VAN,CBJ,4,3,1
2021-12-15,TBL,LAK,3,2,1
2021-12-15,SJS,SEA,1,3,0
2021-12-15,PIT,MTL,5,2,1
2021-12-15,PHI,NJD,6,1,1
2021-12-15,EDM,TOR,1,5,0
2021-12-15,DET,NYI,2,1,1
2021-12-15,DAL,STL,1,4,0
2021-12-15,COL,NYR,4,2,1
2021-12-15,BOS,VGK,1,4,0
2021-12-15,FLA,OTT,2,8,0
2021-12-16,ANA,SEA,4,1,1
2021-12-16,ARI,NYR,2,3,0
2021-12-16,CHI,WSH,5,4,1
2021-12-17,NYI,BOS,3,1,1
2021-12-17,TBL,OTT,2,1,1
