date,home_team,away_team,home_goals,away_goals,home_win,game_key,season,home_elo_pre,away_elo_pre,elo_diff,home_elo,away_elo,home_elo_post,away_elo_post,home_rolling_win_pct,home_rolling_goal_diff,rest_days_x,home_rest_days,away_rolling_win_pct,away_rolling_goal_diff,away_rest_days,home_home_rolling_win_pct,home_home_rolling_goal_diff,away_away_rolling_win_pct,away_away_rolling_goal_diff,rest_diff
2023-04-22,TBL,TOR,3,4,0,2023-04-22|TBL|TOR|3|4,2022,1530.8430561885182,1582.8559978262037,-12.012941637685572,1530.8430561885182,1582.8559978262037,1523.6022730893508,1590.0967809253711,0.5,0.5,2.0,2.0,0.7,1.1,2.0,0.6,1.5,0.7,0.4,0.0
2023-04-22,WPG,VGK,4,5,0,2023-04-22|WPG|VGK|4|5,2022,1523.3163606999406,1571.032266729245,-7.715906029304506,1523.3163606999406,1571.032266729245,1515.9828945431825,1578.3657328860031,0.6,1.1,1.0,1.0,0.6,0.8,1.0,0.6,1.0,0.7,0.7,0.0
2023-04-23,FLA,BOS,2,6,0,2023-04-23|FLA|BOS|2|6,2022,1536.4618249710725,1689.8204748742696,-113.35864990319715,1536.4618249710725,1689.8204748742696,1531.325580591032,1694.9567192543102,0.6,1.4,2.0,2.0,0.9,1.1,2.0,0.4,0.1,0.9,1.8,0.0
2023-04-23,MIN,DAL,2,3,0,2023-04-23|MIN|DAL|2|3,2022,1550.3070592466038,1545.2513712058549,45.05568804074892,1550.3070592466038,1545.2513712058549,1541.8398697372716,1553.718560715187,0.4,-0.5,1.0,1.0,0.7,1.3,1.0,0.6,0.8,0.6,0.5,0.0
2023-04-23,NYI,CAR,2,5,0,2023-04-23|NYI|CAR|2|5,2022,1504.0266483419882,1582.8486246758894,-38.82197633390115,1504.0266483419882,1582.8486246758894,1497.3612176103718,1589.5140554075058,0.5,0.5,2.0,2.0,0.6,0.0,2.0,0.8,2.2,0.4,-0.6,0.0
2023-04-23,NYR,NJD,1,2,0,2023-04-23|NYR|NJD|1|2,2022,1576.6472866063034,1544.4164927710592,72.23079383524419,1576.6472866063034,1544.4164927710592,1567.6101417495076,1553.453637627855,0.5,1.3,3.0,3.0,0.6,0.6,3.0,0.6,1.9,0.5,-0.3,0.0
2023-04-23,SEA,COL,4,6,0,2023-04-23|SEA|COL|4|6,2022,1525.9736308490587,1603.8473714737572,-37.873740624698485,1525.9736308490587,1603.8473714737572,1519.2879781707827,1610.5330241520332,0.6,1.3,2.0,2.0,0.8,1.1,2.0,0.4,0.5,1.0,1.9,0.0
2023-04-24,LAK,EDM,4,5,0,2023-04-24|LAK|EDM|4|5,2022,1566.408217708056,1593.9188637485245,12.489353959531627,1566.408217708056,1593.9188637485245,1558.6387293987586,1601.688352057822,0.6,0.4,2.0,2.0,0.8,2.1,2.0,0.7,1.6,0.8,1.3,0.0
2023-04-24,NYR,NJD,1,3,0,2023-04-24|NYR|NJD|1|3,2022,1567.6101417495076,1553.453637627855,54.15650412165269,1567.6101417495076,1553.453637627855,1558.9504567433708,1562.1133226339919,0.5,1.3,1.0,1.0,0.6,0.6,1.0,0.6,2.0,0.5,-0.3,0.0
2023-04-24,TBL,TOR,4,5,0,2023-04-24|TBL|TOR|4|5,2022,1523.6022730893508,1590.0967809253711,-26.494507836020375,1523.6022730893508,1590.0967809253711,1516.6730969631487,1597.0259570515732,0.4,0.0,2.0,2.0,0.7,0.9,2.0,0.5,1.1,0.7,0.4,0.0
